"","Gene","Chromosome"
"14619","HHIPL1","chr14"
"14620","PPP2R5C","chr14"
"14621","BEST2","chr19"
"14622","APOC4","chr19"
"14623","PTOV1","chr19"
"14624","CACNG6","chr19"
"14625","GPR34","chrX"
"14626","AL353804.6","chrX"
"14627","DUSP9","chrX"
"14628","FNBP1L","chr1"
"14629","RGS5","chr1"
"14630","CMPK2","chr2"
"14631","OXER1","chr2"
"14632","FAM237A","chr2"
"14633","NREP","chr5"
"14634","IK","chr5"
"14635","AGPAT4","chr6"
"14636","PRSS1","chr7"
"14637","LMBR1","chr7"
"14638","DEFB106B","chr8"
"14639","IFNA10","chr9"
"14640","PLAA","chr9"
"14641","C9orf72","chr9"
"14642","RRP8","chr11"
"14643","CD5","chr11"
"14644","ALKBH8","chr11"
"14645","TSPAN11","chr12"
"14646","ALG11","chr13"
"14647","PRIMA1","chr14"
"14648","KLF13","chr15"
"14649","TRAP1","chr16"
"14650","TGFB1I1","chr16"
"14651","NUDT7","chr16"
"14652","GCSH","chr16"
"14653","MIER2","chr19"
"14654","PPM1N","chr19"
"14655","NOP53","chr19"
"14656","RRP7A","chr22"
"14657","PHF8","chrX"
"14658","SIKE1","chr1"
"14659","SHE","chr1"
"14660","CD84","chr1"
"14661","NRP2","chr2"
"14662","SYN2","chr3"
"14663","NCAPG","chr4"
"14664","TRAPPC13","chr5"
"14665","TMED9","chr5"
"14666","ZBTB2","chr6"
"14667","GNAI1","chr7"
"14668","TRPV6","chr7"
"14669","OR6B1","chr7"
"14670","RSU1","chr10"
"14671","PKP3","chr11"
"14672","TRAF6","chr11"
"14673","UBE2L6","chr11"
"14674","TESMIN","chr11"
"14675","TMED2","chr12"
"14676","FAM124A","chr13"
"14677","CLEC3A","chr16"
"14678","ZNF778","chr16"
"14679","CSH2","chr17"
"14680","MEP1B","chr18"
"14681","RAX2","chr19"
"14682","PLIN4","chr19"
"14683","COL9A3","chr20"
"14684","LCA5L","chr21"
"14685","PIR","chrX"
"14686","FOXP3","chrX"
"14687","AGMAT","chr1"
"14688","RHEX","chr1"
"14689","SMYD2","chr1"
"14690","COA5","chr2"
"14691","CPO","chr2"
"14692","SETMAR","chr3"
"14693","DPH3","chr3"
"14694","IQCF2","chr3"
"14695","RASSF6","chr4"
"14696","SETD7","chr4"
"14697","F2RL2","chr5"
"14698","PGGT1B","chr5"
"14699","MTPN","chr7"
"14700","NTNG2","chr9"
"14701","NUCB2","chr11"
"14702","OVOL1","chr11"
"14703","TRIM49","chr11"
"14704","STT3A","chr11"
"14705","PLBD1","chr12"
"14706","CERS5","chr12"
"14707","B3GNT4","chr12"
"14708","SLC15A4","chr12"
"14709","RPL21","chr13"
"14710","OR11H6","chr14"
"14711","CIBAR2","chr16"
"14712","MYL4","chr17"
"14713","TM6SF2","chr19"
"14714","SPRED3","chr19"
"14715","KRTAP8-1","chr21"
"14716","PKNOX1","chr21"
"14717","CYB5R3","chr22"
"14718","SYN1","chrX"
"14719","C1orf43","chr1"
"14720","SHCBP1L","chr1"
"14721","ATP6V1G3","chr1"
"14722","C1orf35","chr1"
"14723","RBKS","chr2"
"14724","EDAR","chr2"
"14725","GPBAR1","chr2"
"14726","ASIC4","chr2"
"14727","GBX2","chr2"
"14728","CSRNP1","chr3"
"14729","SREK1","chr5"
"14730","CREBRF","chr5"
"14731","BTNL8","chr5"
"14732","FAM217A","chr6"
"14733","H4C4","chr6"
"14734","PIM1","chr6"
"14735","SNORD50B","chr6"
"14736","COL10A1","chr6"
"14737","GOPC","chr6"
"14738","TPD52L1","chr6"
"14739","GPR31","chr6"
"14740","C7orf50","chr7"
"14741","GRB10","chr7"
"14742","GJC3","chr7"
"14743","AZGP1","chr7"
"14744","WBP1LP2","chr7"
"14745","TSPAN12","chr7"
"14746","ZBED6CL","chr7"
"14747","SOX17","chr8"
"14748","FABP12","chr8"
"14749","C8orf37","chr8"
"14750","STK3","chr8"
"14751","DNAJB12","chr10"
"14752","EIF5AL1","chr10"
"14753","MS4A5","chr11"
"14754","NAA40","chr11"
"14755","THRSP","chr11"
"14756","RBM7","chr11"
"14757","IFT46","chr11"
"14758","CLEC7A","chr12"
"14759","DERA","chr12"
"14760","RAB2B","chr14"
"14761","GMPR2","chr14"
"14762","PRORP","chr14"
"14763","L2HGDH","chr14"
"14764","SRSF5","chr14"
"14765","PTGR2","chr14"
"14766","AVEN","chr15"
"14767","CDC37P1","chr16"
"14768","CES1","chr16"
"14769","EMC8","chr16"
"14770","IRF8","chr16"
"14771","DPH1","chr17"
"14772","TNK1","chr17"
"14773","DYNLL2","chr17"
"14774","ZBTB14","chr18"
"14775","ZNF397","chr18"
"14776","ZNF100","chr19"
"14777","B3GNT8","chr19"
"14778","GRWD1","chr19"
"14779","PRRG2","chr19"
"14780","LAIR1","chr19"
"14781","C21orf58","chr21"
"14782","DESI1","chr22"
"14783","NXF3","chrX"
"14784","CXorf66","chrX"
"14785","PAQR9","chr3"
"14786","TTI2","chr8"
"14787","NUDT15","chr13"
"14788","TPM1","chr15"
"14789","TPSG1","chr16"
"14790","PHOSPHO1","chr17"
"14791","NPLOC4","chr17"
"14792","DAPK3","chr19"
"14793","MED29","chr19"
"14794","RGS13","chr1"
"14795","IQCF1","chr3"
"14796","RBM22","chr5"
"14797","ABT1","chr6"
"14798","FBP1","chr9"
"14799","MAP3K11","chr11"
"14800","LTBR","chr12"
"14801","SPIC","chr12"
"14802","TRAV18","chr14"
"14803","CELF6","chr15"
"14804","OR4F6","chr15"
"14805","MMP2","chr16"
"14806","ONECUT2","chr18"
"14807","ATCAY","chr19"
"14808","KRTAP10-11","chr21"
"14809","GPX7","chr1"
"14810","PDZK1","chr1"
"14811","PNKD","chr2"
"14812","ACKR3","chr2"
"14813","C3orf56","chr3"
"14814","OSTC","chr4"
"14815","NSG2","chr5"
"14816","TBP","chr6"
"14817","STYXL1","chr7"
"14818","DNAJC1","chr10"
"14819","OR13A1","chr10"
"14820","OR10A2","chr11"
"14821","OR4D11","chr11"
"14822","OR8B2","chr11"
"14823","EI24","chr11"
"14824","SLC38A4","chr12"
"14825","CLEC14A","chr14"
"14826","ATL1","chr14"
"14827","SNORD114-27","chr14"
"14828","IGHV4-39","chr14"
"14829","KNSTRN","chr15"
"14830","SQOR","chr15"
"14831","MAPK6","chr15"
"14832","HDGFL3","chr15"
"14833","NSMCE1","chr16"
"14834","TUFM","chr16"
"14835","HSPB9","chr17"
"14836","NAGS","chr17"
"14837","SP6","chr17"
"14838","NME1","chr17"
"14839","GADD45GIP1","chr19"
"14840","SMIM7","chr19"
"14841","GTPBP3","chr19"
"14842","ZNF787","chr19"
"14843","CYYR1","chr21"
"14844","NR0B1","chrX"
"14845","CT45A1","chrX"
"14846","RAB10","chr2"
"14847","LIPF","chr10"
"14848","SLC25A17","chr22"
"14849","PITHD1","chr1"
"14850","ETV3L","chr1"
"14851","PAK1","chr11"
"14852","C18orf54","chr18"
"14853","GTPBP1","chr22"
"14854","SHISAL2A","chr1"
"14855","TMEM81","chr1"
"14856","ATP6V1C2","chr2"
"14857","PPP1R21","chr2"
"14858","LGALSL","chr2"
"14859","ACTR2","chr2"
"14860","IL1F10","chr2"
"14861","MGAT5","chr2"
"14862","UGT1A10","chr2"
"14863","CCDC174","chr3"
"14864","ABHD14B","chr3"
"14865","ZMAT3","chr3"
"14866","C4orf19","chr4"
"14867","RAB3C","chr5"
"14868","RWDD2A","chr6"
"14869","VKORC1L1","chr7"
"14870","YWHAG","chr7"
"14871","GML","chr8"
"14872","SCRT1","chr8"
"14873","RRAGA","chr9"
"14874","ROR2","chr9"
"14875","GOLGA7B","chr10"
"14876","MYOD1","chr11"
"14877","CSTF3","chr11"
"14878","CTSW","chr11"
"14879","PLA2G1B","chr12"
"14880","KLF12","chr13"
"14881","TRAV26-2","chr14"
"14882","AL136295.1","chr14"
"14883","SERPINA9","chr14"
"14884","SNORD116-1","chr15"
"14885","GDE1","chr16"
"14886","TBX6","chr16"
"14887","COPS3","chr17"
"14888","TMEM92","chr17"
"14889","S1PR5","chr19"
"14890","ZNF625","chr19"
"14891","KLHL26","chr19"
"14892","CGB3","chr19"
"14893","ZNF154","chr19"
"14894","IGLV3-16","chr22"
"14895","NIPSNAP1","chr22"
"14896","LDOC1","chrX"
"14897","SPRY3","chrX"
"14898","KLHL21","chr1"
"14899","MAD2L2","chr1"
"14900","IFNLR1","chr1"
"14901","RD3","chr1"
"14902","IGKV1D-8","chr2"
"14903","TANK","chr2"
"14904","CNBP","chr3"
"14905","BYSL","chr6"
"14906","ARMC10","chr7"
"14907","KRT83","chr12"
"14908","IQCD","chr12"
"14909","MON1B","chr16"
"14910","HS3ST3B1","chr17"
"14911","MRPL38","chr17"
"14912","YJEFN3","chr19"
"14913","MAP1LC3A","chr20"
"14914","AL121845.3","chr20"
"14915","IL17RA","chr22"
"14916","TMEM31","chrX"
"14917","SOX3","chrX"
"14918","MZT2B","chr2"
"14919","TMEM45A","chr3"
"14920","TMEM184C","chr4"
"14921","TRIM61","chr4"
"14922","AP3S1","chr5"
"14923","L3HYPDH","chr14"
"14924","STRC","chr15"
"14925","METRN","chr16"
"14926","NOMO2","chr16"
"14927","PFN1","chr17"
"14928","CAPS","chr19"
"14929","SYCN","chr19"
"14930","BACE2","chr21"
"14931","TOB2","chr22"
"14932","NAP1L5","chr4"
"14933","SLC25A4","chr4"
"14934","TMEM14B","chr6"
"14935","PM20D2","chr6"
"14936","ABHD11","chr7"
"14937","SLC35B4","chr7"
"14938","PDCD1LG2","chr9"
"14939","CCDC3","chr10"
"14940","MEIG1","chr10"
"14941","PTF1A","chr10"
"14942","HOGA1","chr10"
"14943","PSMD13","chr11"
"14944","OMP","chr11"
"14945","BNC1","chr15"
"14946","HSBP1","chr16"
"14947","HOXB6","chr17"
"14948","AKT2","chr19"
"14949","CDS2","chr20"
"14950","GLUL","chr1"
"14951","H4C7","chr6"
"14952","SCN2B","chr11"
"14953","CRK","chr17"
"14954","HNRNPCL1","chr1"
"14955","HTR1D","chr1"
"14956","CLIC4","chr1"
"14957","RHD","chr1"
"14958","ARTN","chr1"
"14959","IL6R","chr1"
"14960","C1orf112","chr1"
"14961","LYPLAL1","chr1"
"14962","WDR43","chr2"
"14963","SMYD5","chr2"
"14964","DUSP11","chr2"
"14965","HOXD9","chr2"
"14966","IRAK2","chr3"
"14967","TREX1","chr3"
"14968","MBD4","chr3"
"14969","SMCO1","chr3"
"14970","FBXL5","chr4"
"14971","NUP54","chr4"
"14972","CAMK2D","chr4"
"14973","RWDD4","chr4"
"14974","TBX20","chr7"
"14975","GIMAP4","chr7"
"14976","RPL7A","chr9"
"14977","IKZF5","chr10"
"14978","PDHX","chr11"
"14979","VPS37C","chr11"
"14980","NDUFS8","chr11"
"14981","SIAE","chr11"
"14982","DDIT3","chr12"
"14983","PWP1","chr12"
"14984","SHISA2","chr13"
"14985","MAP4K5","chr14"
"14986","ARG2","chr14"
"14987","ERH","chr14"
"14988","AEN","chr15"
"14989","SETD6","chr16"
"14990","GJD3","chr17"
"14991","CALR3","chr19"
"14992","ZNF181","chr19"
"14993","LRFN1","chr19"
"14994","PSG11","chr19"
"14995","SCAND1","chr20"
"14996","CD40","chr20"
"14997","KRTAP10-1","chr21"
"14998","RGL4","chr22"
"14999","TFIP11","chr22"
"15000","TCEANC","chrX"
"15001","FAM89A","chr1"
"15002","RRM2B","chr8"
"15003","B4GALT1","chr9"
"15004","MELK","chr9"
"15005","CHCHD2P9","chr9"
"15006","SNAP23","chr15"
"15007","ATP9B","chr18"
"15008","GPR42","chr19"
"15009","MIR371A","chr19"
"15010","GPR1","chr2"
"15011","ISL2","chr15"
"15012","DBT","chr1"
"15013","OR2T2","chr1"
"15014","COLEC11","chr2"
"15015","LONRF2","chr2"
"15016","CCDC93","chr2"
"15017","ING5","chr2"
"15018","KCTD6","chr3"
"15019","ZBED2","chr3"
"15020","NEPRO","chr3"
"15021","EIF2A","chr3"
"15022","RRH","chr4"
"15023","CDKN2AIP","chr4"
"15024","FCHO2","chr5"
"15025","APOBEC2","chr6"
"15026","ECHDC1","chr6"
"15027","FIS1","chr7"
"15028","OR2A12","chr7"
"15029","ZNF775","chr7"
"15030","ELP3","chr8"
"15031","TRUB2","chr9"
"15032","RPS6KB2","chr11"
"15033","CCDC92","chr12"
"15034","MBIP","chr14"
"15035","CA12","chr15"
"15036","ROGDI","chr16"
"15037","DHX40","chr17"
"15038","RAB12","chr18"
"15039","TMEM147","chr19"
"15040","SMS","chrX"
"15041","XKRX","chrX"
"15042","HEYL","chr1"
"15043","LRRC39","chr1"
"15044","MAPRE3","chr2"
"15045","IGKV3D-20","chr2"
"15046","CNOT11","chr2"
"15047","CIR1","chr2"
"15048","MKRN2","chr3"
"15049","FOXL2NB","chr3"
"15050","HDGFL1","chr6"
"15051","MCCD1","chr6"
"15052","PXT1","chr6"
"15053","PKIB","chr6"
"15054","MAPK15","chr8"
"15055","OR5AP2","chr11"
"15056","OR9I1","chr11"
"15057","CNIH2","chr11"
"15058","CRTAM","chr11"
"15059","IDH3A","chr15"
"15060","CDK10","chr16"
"15061","MYL12B","chr18"
"15062","CERS4","chr19"
"15063","OTOR","chr20"
"15064","DEFB119","chr20"
"15065","CBX7","chr22"
"15066","STK26","chrX"
"15067","RPS10-NUDT3","chr6"
"15068","SLC16A10","chr6"
"15069","ORM2","chr9"
"15070","OR52E4","chr11"
"15071","IL22","chr12"
"15072","CEACAM7","chr19"
"15073","TMEM51","chr1"
"15074","SERINC2","chr1"
"15075","PPIH","chr1"
"15076","AK4","chr1"
"15077","GJA5","chr1"
"15078","S100A7","chr1"
"15079","ILF2","chr1"
"15080","NIT1","chr1"
"15081","CKAP2L","chr2"
"15082","HOXD3","chr2"
"15083","DUSP19","chr2"
"15084","C3orf52","chr3"
"15085","MGLL","chr3"
"15086","RBP2","chr3"
"15087","SPATA16","chr3"
"15088","IL13","chr5"
"15089","DUSP1","chr5"
"15090","TRIM26","chr6"
"15091","SFTA2","chr6"
"15092","HLA-C","chr6"
"15093","LSM2","chr6"
"15094","OOEP","chr6"
"15095","USP45","chr6"
"15096","ATXN7L1","chr7"
"15097","GPR22","chr7"
"15098","ZNF746","chr7"
"15099","BNIP3L","chr8"
"15100","ZNF696","chr8"
"15101","OPLAH","chr8"
"15102","CHMP5","chr9"
"15103","ST6GALNAC4","chr9"
"15104","PTDSS2","chr11"
"15105","APIP","chr11"
"15106","MTA2","chr11"
"15107","MIR125B1","chr11"
"15108","CHEK1","chr11"
"15109","ETS1","chr11"
"15110","ZC3H10","chr12"
"15111","RBMS2","chr12"
"15112","RN7SL176P","chr12"
"15113","TMEM119","chr12"
"15114","NOC4L","chr12"
"15115","F10","chr13"
"15116","MIR370","chr14"
"15117","ATP5MPL","chr14"
"15118","C15orf65","chr15"
"15119","ISLR2","chr15"
"15120","RGS11","chr16"
"15121","FBXL16","chr16"
"15122","SPSB3","chr16"
"15123","IGFALS","chr16"
"15124","ERI2","chr16"
"15125","PDP2","chr16"
"15126","CTU2","chr16"
"15127","C17orf75","chr17"
"15128","G6PC","chr17"
"15129","HDAC5","chr17"
"15130","MRPS23","chr17"
"15131","WBP2","chr17"
"15132","OR4F17","chr19"
"15133","ICAM5","chr19"
"15134","NTN5","chr19"
"15135","LILRB2","chr19"
"15136","TMEM150B","chr19"
"15137","ZNF586","chr19"
"15138","KIZ","chr20"
"15139","EVA1C","chr21"
"15140","SH3BGR","chr21"
"15141","MCAT","chr22"
"15142","PLCXD1","chrX"
"15143","GPM6B","chrX"
"15144","GEMIN8","chrX"
"15145","FGF16","chrX"
"15146","FAM199X","chrX"
"15147","SRPK3","chrX"
"15148","PLA2G2F","chr1"
"15149","IL22RA1","chr1"
"15150","SNRNP40","chr1"
"15151","NCDN","chr1"
"15152","CFAP57","chr1"
"15153","SEC22B","chr1"
"15154","CD160","chr1"
"15155","SPRR2A","chr1"
"15156","S100A13","chr1"
"15157","UCHL5","chr1"
"15158","FANCL","chr2"
"15159","STAP1","chr4"
"15160","DNAJC21","chr5"
"15161","HAVCR2","chr5"
"15162","KAAG1","chr6"
"15163","VTA1","chr6"
"15164","GINM1","chr6"
"15165","NUDCD3","chr7"
"15166","NAMPT","chr7"
"15167","SMIM19","chr8"
"15168","THAP1","chr8"
"15169","CALB1","chr8"
"15170","NKX2-3","chr10"
"15171","AS3MT","chr10"
"15172","FEN1","chr11"
"15173","FAM76B","chr11"
"15174","DPPA3","chr12"
"15175","ESRRB","chr14"
"15176","MIR410","chr14"
"15177","KRTAP3-2","chr17"
"15178","ZNF784","chr19"
"15179","BMP2","chr20"
"15180","CSTF1","chr20"
"15181","MAP3K7CL","chr21"
"15182","KRTAP20-1","chr21"
"15183","ARSD","chrX"
"15184","PQBP1","chrX"
"15185","COX7B","chrX"
"15186","TCEAL8","chrX"
"15187","UPF3B","chrX"
"15188","AC074085.2","chr7"
"15189","OR1D2","chr17"
"15190","BCL2L12","chr19"
"15191","CHST13","chr3"
"15192","PENK","chr8"
"15193","OR10G4","chr11"
"15194","CST2","chr20"
"15195","APOBEC3A","chr22"
"15196","MAPK8IP2","chr22"
"15197","OSBPL9","chr1"
"15198","CAPZA1","chr1"
"15199","NPL","chr1"
"15200","TM4SF20","chr2"
"15201","RARRES1","chr3"
"15202","MRPS10","chr6"
"15203","FBXL4","chr6"
"15204","SLURP1","chr8"
"15205","SARDH","chr9"
"15206","C1QL3","chr10"
"15207","MRPL49","chr11"
"15208","FOSL1","chr11"
"15209","SPPL3","chr12"
"15210","SLC46A3","chr13"
"15211","YY1","chr14"
"15212","CDIN1","chr15"
"15213","MEIOB","chr16"
"15214","CABLES1","chr18"
"15215","KHSRP","chr19"
"15216","NCCRP1","chr19"
"15217","TOMM40","chr19"
"15218","BHLHE23","chr20"
"15219","ACSL4","chrX"
"15220","MIR508","chrX"
"15221","GDNF","chr5"
"15222","OR4A15","chr11"
"15223","CELA1","chr12"
"15224","B3GNT7","chr2"
"15225","CCZ1","chr7"
"15226","ASB10","chr7"
"15227","TWNK","chr10"
"15228","HABP2","chr10"
"15229","CARD17","chr11"
"15230","FRMD5","chr15"
"15231","USF2","chr19"
"15232","HSD17B10","chrX"
"15233","AADACL3","chr1"
"15234","BATF","chr14"
"15235","KCNG2","chr18"
"15236","ERAS","chrX"
"15237","MACO1","chr1"
"15238","PSRC1","chr1"
"15239","PREPL","chr2"
"15240","PLA1A","chr3"
"15241","ADAP1","chr7"
"15242","MRPL21","chr11"
"15243","C11orf65","chr11"
"15244","SOCS4","chr14"
"15245","IFI27","chr14"
"15246","FAM209B","chr20"
"15247","SYF2","chr1"
"15248","DNAJB4","chr1"
"15249","TMCO1","chr1"
"15250","MYOG","chr1"
"15251","PDIA6","chr2"
"15252","TMEM87B","chr2"
"15253","SSUH2","chr3"
"15254","FAIM","chr3"
"15255","PAIP2","chr5"
"15256","POU4F3","chr5"
"15257","GPSM3","chr6"
"15258","GRIFIN","chr7"
"15259","IFNA16","chr9"
"15260","TSPAN15","chr10"
"15261","DNM1L","chr12"
"15262","ZNF740","chr12"
"15263","GLIPR1","chr12"
"15264","JMJD7","chr15"
"15265","UQCRC2","chr16"
"15266","CYB5D2","chr17"
"15267","WTIP","chr19"
"15268","SRPX","chrX"
"15269","DNASE1L1","chrX"
"15270","MIR34A","chr1"
"15271","OR2T4","chr1"
"15272","GJC1","chr17"
"15273","CAPN12","chr19"
"15274","TNFRSF1B","chr1"
"15275","STX12","chr1"
"15276","UQCRH","chr1"
"15277","LRRN2","chr1"
"15278","RNF181","chr2"
"15279","OCIAD1","chr4"
"15280","PJA2","chr5"
"15281","SMPD2","chr6"
"15282","GUSB","chr7"
"15283","RHBDD2","chr7"
"15284","CNTFR","chr9"
"15285","C9orf152","chr9"
"15286","NRBF2","chr10"
"15287","NLRP6","chr11"
"15288","LYZ","chr12"
"15289","TRAV13-1","chr14"
"15290","PIGB","chr15"
"15291","CPLX3","chr15"
"15292","MTHFS","chr15"
"15293","IL32","chr16"
"15294","IL27","chr16"
"15295","CBFB","chr16"
"15296","CHST4","chr16"
"15297","KCTD2","chr17"
"15298","ARMC6","chr19"
"15299","C5AR2","chr19"
"15300","KCNK15","chr20"
"15301","TFF1","chr21"
"15302","TAF9B","chrX"
"15303","MRPS14","chr1"
"15304","DNAJC5G","chr2"
"15305","CCDC85A","chr2"
"15306","RPL31","chr2"
"15307","DIMT1","chr5"
"15308","RGS20","chr8"
"15309","ENTPD8","chr9"
"15310","TUB","chr11"
"15311","ATP4B","chr13"
"15312","RAC3","chr17"
"15313","MC2R","chr18"
"15314","TANGO2","chr22"
"15315","SLC25A43","chrX"
"15316","WDR75","chr2"
"15317","FAM162A","chr3"
"15318","SAR1B","chr5"
"15319","FOXO3","chr6"
"15320","HDDC2","chr6"
"15321","SCGB2A1","chr11"
"15322","PGM2L1","chr11"
"15323","APOBEC1","chr12"
"15324","MTFMT","chr15"
"15325","PHKG2","chr16"
"15326","HSD17B1","chr17"
"15327","CCDC61","chr19"
"15328","AC004997.1","chr22"
"15329","ANKRD54","chr22"
"15330","KCNAB2","chr1"
"15331","MMACHC","chr1"
"15332","ITM2C","chr2"
"15333","RELL1","chr4"
"15334","LPCAT1","chr5"
"15335","GPR150","chr5"
"15336","RPS20","chr8"
"15337","SHARPIN","chr8"
"15338","ANXA8L1","chr10"
"15339","OR51I2","chr11"
"15340","PRG3","chr11"
"15341","OOSP2","chr11"
"15342","CABP4","chr11"
"15343","SIVA1","chr14"
"15344","DDA1","chr19"
"15345","HAS1","chr19"
"15346","CLDN8","chr21"
"15347","GCNA","chrX"
"15348","ENO1","chr1"
"15349","HS2ST1","chr1"
"15350","COMMD1","chr2"
"15351","GMPPA","chr2"
"15352","ZNF654","chr3"
"15353","ETFDH","chr4"
"15354","C5orf51","chr5"
"15355","TTLL11","chr9"
"15356","GAB2","chr11"
"15357","C11orf45","chr11"
"15358","CREBL2","chr12"
"15359","SELENOS","chr15"
"15360","NMRAL1","chr16"
"15361","TRIM16L","chr17"
"15362","ANKRD29","chr18"
"15363","C19orf25","chr19"
"15364","RPL36","chr19"
"15365","NRTN","chr19"
"15366","PAK4","chr19"
"15367","SPANXB1","chrX"
"15368","HAX1","chr1"
"15369","EEF1AKNMT","chr1"
"15370","MRPS5","chr2"
"15371","DUSP28","chr2"
"15372","PPM1M","chr3"
"15373","DDIT4L","chr4"
"15374","EFNA5","chr5"
"15375","AP5Z1","chr7"
"15376","LGI3","chr8"
"15377","DGAT1","chr8"
"15378","AKR1C3","chr10"
"15379","GSTP1","chr11"
"15380","SIK3","chr11"
"15381","CAB39L","chr13"
"15382","SGF29","chr16"
"15383","CLEC10A","chr17"
"15384","PSMD11","chr17"
"15385","PIGN","chr18"
"15386","SERPINB3","chr18"
"15387","APOC1","chr19"
"15388","NPEPL1","chr20"
"15389","TTLL8","chr22"
"15390","NPPB","chr1"
"15391","HMGCL","chr1"
"15392","MTFR1L","chr1"
"15393","DR1","chr1"
"15394","KRTCAP2","chr1"
"15395","REEP1","chr2"
"15396","MRPL30","chr2"
"15397","MAGEF1","chr3"
"15398","ZNF141","chr4"
"15399","NKX3-2","chr4"
"15400","PI4K2B","chr4"
"15401","C4orf33","chr4"
"15402","SRP19","chr5"
"15403","MAFK","chr7"
"15404","TRIM50","chr7"
"15405","DLD","chr7"
"15406","RRS1","chr8"
"15407","PPP1R16A","chr8"
"15408","TRIM14","chr9"
"15409","NPFFR1","chr10"
"15410","ECD","chr10"
"15411","ATL3","chr11"
"15412","SMUG1","chr12"
"15413","ALKBH2","chr12"
"15414","TRAV4","chr14"
"15415","TRAV29DV5","chr14"
"15416","ADCK1","chr14"
"15417","IGHV1-2","chr14"
"15418","IGHV3-7","chr14"
"15419","IGHV3-11","chr14"
"15420","IGHV3-48","chr14"
"15421","CIB1","chr15"
"15422","IST1","chr16"
"15423","TXNDC2","chr18"
"15424","RRAS","chr19"
"15425","KDELR3","chr22"
"15426","SEPTIN3","chr22"
"15427","ZNF182","chrX"
"15428","FUNDC2","chrX"
"15429","MTX1","chr1"
"15430","ETV3","chr1"
"15431","LBH","chr2"
"15432","IL36A","chr2"
"15433","SS18L2","chr3"
"15434","MARCHF3","chr5"
"15435","UIMC1","chr5"
"15436","ZSCAN31","chr6"
"15437","LY96","chr8"
"15438","FGD3","chr9"
"15439","UBQLNL","chr11"
"15440","MS4A7","chr11"
"15441","KRT8","chr12"
"15442","NIPA1","chr15"
"15443","SNORD115-17","chr15"
"15444","GSPT1","chr16"
"15445","RPA1","chr17"
"15446","RAP1GAP2","chr17"
"15447","NLE1","chr17"
"15448","CYB561","chr17"
"15449","ADAMTSL5","chr19"
"15450","KLF1","chr19"
"15451","ETV2","chr19"
"15452","DHDH","chr19"
"15453","VCX","chrX"
"15454","RPS4Y2","chrY"
"15455","RBMY1E","chrY"
"15456","OXSM","chr3"
"15457","GPX1","chr3"
"15458","ZNF311","chr6"
"15459","SUSD3","chr9"
"15460","ELOB","chr16"
"15461","EMP2","chr16"
"15462","PPP1R1B","chr17"
"15463","NPPC","chr2"
"15464","RTP3","chr3"
"15465","ELF2","chr4"
"15466","PIGF","chr2"
"15467","HYAL2","chr3"
"15468","NIPAL1","chr4"
"15469","ZCCHC9","chr5"
"15470","TREM1","chr6"
"15471","ZNHIT2","chr11"
"15472","SPATA22","chr17"
"15473","LDLRAD4","chr18"
"15474","ABHD16B","chr20"
"15475","CLCA3P","chr1"
"15476","EPHX4","chr1"
"15477","GSTM3","chr1"
"15478","SLC27A3","chr1"
"15479","PMVK","chr1"
"15480","RBBP5","chr1"
"15481","ACTR1B","chr2"
"15482","CPLX1","chr4"
"15483","LIN54","chr4"
"15484","GPAT3","chr4"
"15485","EIF4E","chr4"
"15486","MYLIP","chr6"
"15487","GJA1","chr6"
"15488","LRWD1","chr7"
"15489","CRYGN","chr7"
"15490","NEIL2","chr8"
"15491","DKK4","chr8"
"15492","AC100868.1","chr8"
"15493","IL2RA","chr10"
"15494","ELOVL3","chr10"
"15495","PSMA1","chr11"
"15496","CREBZF","chr11"
"15497","ARPC3","chr12"
"15498","PABPN1","chr14"
"15499","EFCAB11","chr14"
"15500","SERPINA13P","chr14"
"15501","MOK","chr14"
"15502","SNORD116-11","chr15"
"15503","LOXL1","chr15"
"15504","CIAO3","chr16"
"15505","ATP1B2","chr17"
"15506","RDM1","chr17"
"15507","CACNG1","chr17"
"15508","NCLN","chr19"
"15509","ATP5PF","chr21"
"15510","DMC1","chr22"
"15511","PORCN","chrX"
"15512","NAP1L2","chrX"
"15513","NDC1","chr1"
"15514","GPER1","chr7"
"15515","FSCN3","chr7"
"15516","BCKDHA","chr19"
"15517","NRSN2","chr20"
"15518","OXT","chr20"
"15519","SPANXC","chrX"
"15520","CPTP","chr1"
"15521","ENSA","chr1"
"15522","CTSS","chr1"
"15523","CCNT2","chr2"
"15524","OR6B2","chr2"
"15525","GHRL","chr3"
"15526","RPL37","chr5"
"15527","DPYSL3","chr5"
"15528","LY6G6F-LY6G6D","chr6"
"15529","CRISP1","chr6"
"15530","CHCHD2","chr7"
"15531","SSU72P8","chr7"
"15532","FAM86B1","chr8"
"15533","EFCAB1","chr8"
"15534","TRMT10B","chr9"
"15535","HIF1AN","chr10"
"15536","TBRG1","chr11"
"15537","TPI1","chr12"
"15538","TAS2R7","chr12"
"15539","PPTC7","chr12"
"15540","ZDHHC20","chr13"
"15541","TRAJ39","chr14"
"15542","MIR379","chr14"
"15543","SCO1","chr17"
"15544","ECH1","chr19"
"15545","ZNF155","chr19"
"15546","SYNGR4","chr19"
"15547","KRTAP10-3","chr21"
"15548","ZDHHC8","chr22"
"15549","ANKRD23","chr2"
"15550","QPCTL","chr19"
"15551","THAP3","chr1"
"15552","FBXO44","chr1"
